Date,LTC.open,LTC.close,LTC.high,LTC.low,LTC.volume
2019-07-17 10:30:00,78.686,78.957,78.957,77.91,2705.51949104
2019-07-17 11:00:00,78.976,78.517,79.241,78.5,1862.26978028
2019-07-17 11:30:00,78.5,78.59,78.763,77.06,10793.86540978
2019-07-17 12:00:00,78.522,80.54,80.726,78.13,5944.66435329
2019-07-17 12:30:00,80.48,84.119,84.553,80.081,20373.7364543
2019-07-17 13:00:00,84.131,83.461,84.65,82.744,19855.5944096
2019-07-17 13:30:00,83.462,84.416,84.664,82.898,8403.02278016
2019-07-17 14:00:00,84.371,84.609,85.114,82.657,24799.217871
2019-07-17 14:30:00,84.748,89.815,90.391,84.233,23212.83856127
2019-07-17 15:00:00,89.8,91.169,93.159,87.94,24603.02844571
2019-07-17 15:30:00,91.168,89.625,91.989,89.157,10574.90365846
2019-07-17 16:00:00,89.586,92.673,94.588,89.586,21893.83819812
2019-07-17 16:30:00,92.587,92.113,93.065,90.659,6924.81368785
2019-07-17 17:00:00,92.153,91.998,92.3,90.0,11406.66904641
2019-07-17 17:30:00,91.998,91.913,93.69,90.58,25416.41956516
2019-07-17 18:00:00,91.808,91.016,92.181,90.975,4020.11099294
2019-07-17 18:30:00,91.096,92.129,92.918,91.043,6337.25489903
2019-07-17 19:00:00,92.2,90.602,92.614,90.077,17354.09428698
2019-07-17 19:30:00,90.692,89.511,91.213,89.278,3602.935734
2019-07-17 20:00:00,89.719,90.388,91.169,88.79,5755.9486975400005
